Year,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºCD.O. (mg/l),,,pHCONDUCTIVITY (µmhos/cm),,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,,,,
,,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
2013,2517,MATHA BHANGA_ GOBINDAPUR,WEST BENGAL,21,35,28.4,0.4,6.3,2.8,6.9,7.8,7.5,239,686,459,2.9,96.4,12.8,0.66,2.36,1.56,13000,5000000,858688,17000,9000000,1538647
2013,2534,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,WEST BENGAL,20.5,34.5,28.8,4.8,9.5,6.7,6.8,8.4,7.5,103,184,147,1,2.6,1.8,0.119,2.33,1.05,200,3000,813,400,17000,2641
2013,2507,D/S OF KANSI AT MIDNAPORE_ NEAR NEW HANUMAN MANDIR_ GANDHIGHAT,WEST BENGAL,20,35,28.8,7.2,11.1,8.7,7,8.3,7.7,84,242,180,1.4,2.8,2.1,0.04,0.45,0.33,2000,80000,23563,4000,300000,78471
2013,1946,MAHANANDA AT SILIGURI,WEST BENGAL,19,30,24.2,6.8,8.8,7.3,6.9,8.8,7.7,127,244,163,2.4,6.5,3.8,0.16,1.03,1,1400,17000,8375,6000,50000,20706
2013,2525,MAHANANDA D/S_ RAMGHAT,WEST BENGAL,18,32,25.2,5.2,6.9,5.9,7.1,8.5,7.8,126,407,236,2.8,5.1,4.4,0.6,4.59,3,20000,140000,84375,110000,1100000,261765
2013,2572,MAHANANDA AT THAKURGANJ_ KISHANGANJ ROAD BRIDGE,BIHAR,14,30,24,6,7.6,7,7.5,7.8,7.7,264,280,271,2,2.4,2.3,0,0,0,500,800,713,1400,2400,1675
2013,2549,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,WEST BENGAL,20,34,26.4,0.4,4.6,1.9,7.3,8.1,7.5,421,8960,2841,5.1,36.6,15,0.7,7.8,5,22000,500000,172250,34000,900000,296118
2013,2550,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,WEST BENGAL,20,35,26.6,0.9,5.4,2.2,7.4,7.8,7.6,679,32800,8828,1.4,15.8,8.2,0.03,3.56,3,8000,500000,134438,11000,900000,238588
2013,1260,BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG)_ASSAM,ASSAM,18,26,22.1,5.2,10,8.2,6.8,8.4,7.3,103,247,163,0.9,2.6,1.6,0.1,1.09,1,360,1500,783,360,4400,1621
2013,1030,BRAHAMPUTRA AT DIBRUGARH_ ASSAM,ASSAM,19,30,22.9,6.1,10.2,7.9,6.8,7.7,7.3,20,240,136,1.2,3.6,2.1,0.2,1.33,1.02,360,1500,890,360,9300,2269
2013,1262,BRAHAMPUTRA AT NIMATIGHAT_ ASSAM,ASSAM,18,27,22.9,5.6,7.9,7.2,6.6,7.5,7.1,108,350,172,0.7,2.4,1.7,0.25,2.33,1.95,360,360,360,360,2800,1270
2013,1526,BRAHMPUTRA RIVER AT DHENUKHAPAHAR_ ASSAM,ASSAM,17,29,23.9,7.1,8.9,7.7,6.5,8.5,7.2,93,317,201,1.4,4.1,2.3,0.23,2.06,1,21802.47,19343208,1984207,45,45,45
2013,1031,BRAHAMPUTRA AT PANDU_ ASSAM,ASSAM,16,30,23.6,6.8,9.5,8.2,6.8,8.2,7.3,142,290,191,0.6,2.2,1.4,0.2,1.09,1,300,730,523,300,2000,1154
2013,1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE_ ASSAM,ASSAM,19,31,26.6,4.6,7.2,6.1,6,7.9,7.3,135,322,180,0.7,2.4,1.5,0.18,1.56,1.03,360,1500,645,360,4300,1336
2013,2069,BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT_ PANBAZAR_ GUWAHATI_ ASSAM,ASSAM,20,29,25.3,6.2,7.8,7.2,6.8,7.8,7.4,128,203,161,1,2.8,1.9,0.21,2.3,2.02,300,910,575,730,24000,7083
2013,2064,BRAHMAPUTRA RIVER AT CHANDRAPUR_ GUWAHATI,ASSAM,20,30,25.5,6.4,8.2,7.3,7.2,7.5,7.4,122,502,334,1.1,1.9,1.5,0.1,2.06,1.95,360,1100,730,730,3600,1733
2013,2067,BRAHMPUTRA RIVER AT SUALKUCHI_ DIST. KAMRUP_ ASSAM,ASSAM,22,31,26.8,5.6,10.3,8.3,6.9,8.4,7.6,148,275,196,1.1,1.9,1.4,0.21,0.96,0.58,1500,1500,1500,730,4300,2043
2013,2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,20,30,26.5,5.1,7,6.2,6.7,7.5,7.1,83,176,134,0.8,1.4,1.2,0.14,0.56,0.41,730,2800,1765,300,4300,2025
2013,1796,DHANSIRI AT FULL NAGARJAN_ NAGALAND,NAGALAND,18,30.5,24.3,2.6,3.1,2.9,7.5,8.5,8,238,279,259,6,14,10,1,1.56,1.03,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1799,DHANSIRI AT TOWN BOUNDARY BRIDGE (DIPHU ROAD)_ NAGALAND,NAGALAND,16,27.3,21.7,1.6,2.4,2,7,7.5,7.3,200,209,205,11,15,13,0.8,1.65,1.33,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1797,DHANSIRI AT BRIDGE NEAR PURANA BAZAAR_ NAGALAND,NAGALAND,19,26.8,22.9,2.3,2.6,2.5,7.5,8,7.8,275,319,297,17,19,18,0.8,2.89,1.87,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1800,DHANSIRI AT NUTON BASTI_ NAGALAND,NAGALAND,18,26.1,22.1,0.5,0.6,0.6,7,7.5,7.3,244,377,311,18,31,24.5,1.6,3.4,2.06,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1798,DHANSIRI NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD)_ NAGALAND,NAGALAND,21,27.2,24.1,1.8,3.1,2.5,7.5,7.5,7.5,241,338,290,6,18,12,0.6,2.23,1.56,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1259,DHANSIRI AT GOLAGHAT_ ASSAM,ASSAM,22,32,27.5,6.8,9.5,8.6,7,7.5,7.2,119,229,178,1.6,2.4,1.9,0.21,1.22,1,2100,2100,2100,300,9300,2703
2013,1928,DHANSIRI AT NAGALAND-ASSAM BORDER_ DIMAPUR,NAGALAND,20,25.5,22.8,1.5,2.3,1.9,7.5,7.5,7.5,254,425,340,10,18,14,1,1.55,1.22,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1930,DZU D/S KOHIMA TOWN,NAGALAND,16,21.1,18.6,2,2.5,2.3,7.5,8.5,8,438,575,507,4,20,12,4,8.9,5.55,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1929,CHATHE AT MEDZIPHEMA_ DIMAPUR,NAGALAND,21,31.7,26.4,1.7,2.3,2,8.5,9,8.8,129,169,149,7,22,14.5,1,2,1.5,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1261,SUBANSIRI AT GEREKAMUKH_ASSAM_(BEFORE CONFL. WITH BRAH.)_ASSAM,ASSAM,18,25,21.8,8.4,9.5,8.7,6.3,7.1,6.7,57,91,75,0.7,2.9,1.6,0.2,1.22,1,360,360,360,360,2000,953
2013,2061,KHARSANG BEFORE CONFLUENCE WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),ASSAM,18,24,21.5,5.8,11,7.2,6.2,7,6.7,115,203,172,0.9,2.2,1.7,0.23,3.23,3,21802.47,19343208,1984207,0,360,255
2013,1422,BURHIDIHING AT MARGHERITA_ ASSAM,ASSAM,20,25,22,6.3,8.8,7.5,7.1,7.6,7.3,118,308,214,0.8,2.7,1.5,0.16,1.99,1,910,910,910,730,2300,1377
2013,2062,BURIDIHING NEAR DULIAJAN AT D/S_ TINSUKIA,ASSAM,19,25,22.3,6.8,8.2,7.6,6.8,7.4,7.1,106,191,132,1.4,4.1,2.2,0.25,2,1,21802.47,19343208,1984207,730,2100,1187
2013,2230,BURHIDIHING RIVER AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),ASSAM,19,25,22,6.5,8.3,7.5,7,7.5,7.2,114,193,153,0.9,2.7,1.7,0.11,2.66,1,21802.47,19343208,1984207,910,1400,1085
2013,2065,PAGLDIA RIVER NEAR NALBARI TOWN_ DIST. NALBARI_ ASSAM,ASSAM,20,31,26.5,7.3,9,8,7.3,8.2,7.8,242,362,279,0.9,2.2,1.4,0.19,1.05,1,21802.47,19343208,1984207,360,2800,1173
2013,1530,DIGBOI RIVER AT LAKHIPATHE_ RESERVE FOREST_ DIGBOI_ ASSAM,ASSAM,20,26,22.8,5.7,8.7,7.2,6.3,7.3,6.8,80,371,242,1.4,4.3,2.9,0.12,5.6,4,300,360,330,720,1500,1043
2013,2063,JAI BHARALI RIVER NEAR BISWANATH CHARALI_ SONITPUR,ASSAM,20,28,24.8,8,9.1,8.3,6.6,7.1,6.8,66,98,79,1.1,4.5,2.4,0.1,2.33,1,360,360,360,360,910,728
2013,2237,KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE_ NAGAON,ASSAM,19,35,27.3,3.4,10.1,6.9,6.2,7.2,6.8,59,283,192,1,3.2,2.3,0.18,1.39,1.02,300,300,300,720,1500,1043
2013,2059,KOLONG RIVER AT MARIGAON,ASSAM,22,36,29.5,7.7,10.3,8.9,6.8,7.7,7.4,42,135,97,1.1,2.3,1.5,0.11,0.33,0.29,730,730,730,910,2300,1553
2013,2060,MANAS RIVER AT NH-31 CROSSING_ BARPETA_ DISTRICT,ASSAM,21,30,26,6,6.7,6.5,7.6,7.9,7.7,433,801,535,1.6,2.8,2.2,0.17,1.66,1.06,21802.47,19343208,1984207,300,910,707
2013,2058,DISANG RIVER AT DILLIGHAT_ DIBRUGARH DIST._ ASSAM,ASSAM,20,27,22.5,6.3,10.8,7.8,6.2,7.1,6.8,101,169,147,0.6,3,1.8,0.15,0.32,0.22,360,2000,1180,360,21000,5705
2013,1298,DISANG AT GUNDAMGHAT_ ASSAM,ASSAM,20,28,24.5,4.6,6.7,5.8,6.2,7,6.8,23,261,119,2.2,4.2,3,0.19,1.66,1.24,1500,1500,1500,1500,3500,2167
2013,1258,JHANJI AT N.H. CROSSING JORHAT_ ASSAM,ASSAM,19,28,24.3,5.4,7.6,6.2,6.9,7.4,7.1,56,155,111,1.6,2.7,2,0.11,1.33,1.03,21802.47,19343208,1984207,730,1500,1210
2013,1527,BHOGDOI RIVER AT JORHAT _ASSAM,ASSAM,19,27,23.8,6,7.5,6.9,6.6,7.3,7.1,74,172,131,1.2,3.7,2,0.18,1.02,1,360,910,670,700,2700,1326
2013,1531,*MORA BHARALI  AT TEZPUR_ ASSAM,ASSAM,20,28,24.3,7,7.4,7.2,6.9,8.3,7.3,96,355,186,2.4,2.9,2.6,0.16,1.45,1,360,730,607,730,2000,1577
2013,1423,BORAK AT PANCHAGRAM _ ASSAM,ASSAM,14,22,18.3,6.2,6.8,6.5,6.7,7.4,7.1,60,195,139,1.1,2.3,1.7,0.19,2.3,1.55,300,360,340,1100,1500,1333
2013,1528,BHARALU RIVER AT GUWAHATI,ASSAM,19,32,26.8,0,0.7,0.4,6.8,7.6,7.2,730,960,827,42,50,47.5,0.18,15.6,12,730,730,730,360,9300,3290
2013,1529,DEEPAR BILL_ ASSAM*,ASSAM,19,30,25.6,4.4,9.5,7.2,6.7,7.9,7.2,195,256,221,3.6,4.6,4.1,0.16,2.02,1,1100,2800,1825,2000,240000,64875
2013,2068,U/S OF KATHAKAL AT MATIJURI_ DIST. HAILAKANDI_ ASSAM,ASSAM,16,24,19.5,6.1,6.8,6.3,6.6,7.3,6.9,60,215,156,0.7,2.3,1.3,0.12,2.36,1,360,1100,730,730,5300,1918
2013,1232,MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.)_RAJASTHAN,RAJASTHAN,11,38,28.4,3.6,6.5,5.2,7.2,8.8,8.2,360,670,506,0.6,2.4,1.1,0.42,1.55,1,4,4,4,4,9,6
2013,4,MAHI AT SEVALIA_ GUJARAT,GUJARAT,25,28,27,7.1,9,8.03,8.1,8.3,8.2,270,384,320,2.2,3.1,2.57,0.14,2.66,1.14,2,4,3,11,15,12
2013,1229,MAHI NEAR RAJASTHAN BORDER AT KADANA DAM_ GUJARAT,GUJARAT,25,29,27,6,8.8,7.5,7.9,8.5,8.2,129,1205,381,2.1,5,3.3,0.756,5.6,3.7,2,900,171,7,900,114
2013,1230,MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA)_ GUJARAT.,GUJARAT,25,28,26,5.7,8.7,7.3,6.8,8.7,8.1,232,452,312,0.5,3.2,2,2.394,3.59,2,2,2,2,140,1600,481
2013,1231,MAHI AT VIRPUR_ GUJARAT,GUJARAT,24,24,24,4.1,10.2,7.2,6.7,8.7,8,1015,1015,1015,0.9,3.6,2.4,0.58,1.25,1,4,4,4,2,2,2
2013,1863,MAHI AI UMETA BRIDGE,GUJARAT,25,29,27.7,4.8,8.6,7.2,8,8.3,8.2,557,2420,1586,4.5,8,6.3,0.4,0.96,0.45,7,170,63,4,120,44
2013,1864,MAHI AT MUJPUR,GUJARAT,25,29,26.3,3.8,9.8,6.7,7.3,8.3,7.8,343,527,453,4.5,9,6.2,0.468,9.6,6,110,110,110,150,430,287
2013,1228,ANAS AT DAHOD_ (KUSHALGARH)_ DIST. PANCHMAHAL_ GUJARAT,GUJARAT,26,28,27,8.4,8.7,8.6,7.9,8,8,223,337,292,3.2,5,4.1,0.07,1.55,1,1,5,3,4,23,13
2013,2102,RIVER SHIVNA AT RAMGHAT_ MANDSAUR,MADHYA PRADESH,23,28,26.4,7,7.7,7.5,7,7.8,7.5,360,874,510,1.9,3,2.3,0.84,1.98,1,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,2103,RIVER JAMMER AT DHOLOWAD_ RATLAM,MADHYA PRADESH,25,28,26.5,7.2,7.7,7.5,7.2,8.3,7.7,240,390,329,1.4,2.1,1.8,1.16,1.66,1,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,2104,RIVER MALEI AT JAORA,MADHYA PRADESH,25,28,26.6,7.2,7.6,7.4,7,8.2,7.7,356,838,598,2,3,2.4,1.82,3.2,2,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,2105,RIVER CHILLAR AT SHAJAPUR,MADHYA PRADESH,24,32,27.5,7.2,7.5,7.4,7.3,8,7.6,300,527,411,2,3,2.6,0.18,3.56,2,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,1221,SABARMATI AT KHEROJ BRIDGE_ GUJARAT,GUJARAT,25,28,25.5,7.2,8.4,7.8,7.3,8.4,8,285,889,466,1.8,8,3.9,0.261,1.89,1.55,17,70,36,21,120,62
2013,1407,SABARMATI AT GANDHINAGAR CHILODA BRIDGE_ LEKAWADA_ GUJARAT,GUJARAT,26,29,27.5,3.2,3.2,3.2,7.5,8.7,8.1,285,4220,2252,5,13,9,0.713,5.66,2.69,900,900,900,3500,22000,12750
2013,1408,SABARMATI AT VILL. MAROLI TALUKA DASCROI_ AHMEDABAD_ GUJARAT,GUJARAT,27,30,27.9,5.4,6.8,6.2,7.5,8.4,7.9,599,34593,5205,5,83,47.1,1.215,5.42,3,14,1500,526,4,50000,6416
2013,1409,SABARMATI AT RAILWAY BRIDGE_ AHMEDABAD,GUJARAT,27,34,31.1,0.6,8.4,4.8,7.3,8.3,7.9,329,10100,1845,1,21,6.3,0.22,2.02,1,10,10,10,7,900,305
2013,1866,RIVER SABARMATI AT HANSOL BRIDGE,GUJARAT,19.441,28.85,24.1455,0.5,8.174,4.337,7.279,8.323,7.78,268,9740,2420,0,7.6431,4.52,7.519,9.89,8,200,7900,1678,9,300,116
2013,1222,SHEDHI AT KHEDA_ GUJARAT,GUJARAT,27,30,27.9,7.1,8.2,7.5,6.9,8.6,7.7,287,463,389,4.5,15,8.3,0.31,1.89,1,21802.47,19343208,1984207,26,1400,279
2013,1224,MESHWA NEAR RAJASTHAN BORDER AT SAMLAJI_ GUJARAT,GUJARAT,25,25,25,6.6,8.1,7.4,8.3,8.5,8.4,286,1247,583,2,2,2,1.94,2.06,2,2,2,2,7,30,13
2013,1437,KHARI AT LALI VILLAGE NEAR AHMEDABAD,GUJARAT,26,31,28.3,1.8,7.3,4.3,7,8.5,7.8,139,7110,1722,0.2,115,60.7,0.836,1.56,1.23,21802.47,19343208,1984207,11,47,28
2013,1227,PANAM AT LUNAWADA_ GUJARAT,GUJARAT,25,26,25.3,7.8,8.8,8.3,7.7,8.3,8.1,325,430,378,2.6,3.3,2.9,0.13,1.23,57,2,2,2,11,15,13
2013,1241,NARMADA AT MANDLA NEAR ROAD BDG. M.P.,MADHYA PRADESH,18,23,21.3,6.8,7.8,7.5,7.2,8.3,7.5,324,499,389,0.6,2.8,1.8,0.4,1.84,1.56,4,39,13,17,460,135
2013,44,NARMADA AT SETHANIGHAT M.P.,MADHYA PRADESH,18,29,22.8,6.1,8.7,7.3,7.8,8.6,8.2,216,314,271,0.8,3.2,1.9,0.34,7.89,6,2,6,4,30,1600,544
2013,1240,NARMADA AT NARSINGHPUR M.P.,MADHYA PRADESH,18,22,20.8,7.4,7.8,7.6,7.3,8.3,7.6,316,527,414,1.3,21.5,4.1,0.14,1.24,1,3,70,25,11,460,140
2013,1234,NARMADA AT HOSHANGABAD U S M.P.,MADHYA PRADESH,18,30,22.7,6,10,7.7,7.6,8.8,8.1,219,312,272,0.7,3,1.5,0.26,8.92,8,2,8,4,21,1600,578
2013,2123,NARMADA AT KORIGHAT HOSHANGABAD,MADHYA PRADESH,21,29,24.5,5.6,11.7,7.7,7.4,8.7,8,219,309,278,0.8,2.3,1.6,0.34,7.88,6,2,8,4,40,1600,585
2013,2106,RIVER NARMADA AT NEMAWAR,MADHYA PRADESH,20,24,22.1,6.5,7.8,7.2,7.2,8.2,7.6,267,386,333,1.9,2,2,1.21,10.05,5.56,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,2099,RIVER NARMADA LALPUR_ JABALPUR,MADHYA PRADESH,19,24,21.9,7,7.8,7.5,7.1,8.3,7.5,164,682,409,1,2.8,2.1,0.27,5.63,2,3,75,34,10,240,70
2013,3322,NARMADA AT MANDLA_ NEAR SHAMSHANGHAT_ JABALPUR,MADHYA PRADESH,19,24,21.3,6.7,7.8,7.6,7.4,8.7,7.7,333,523,428,1.2,3.2,2,0.5,6.39,3,3,15,9,23,460,118
2013,3323,NARMADA AT LALPUR_ NEAR WATER SUPPLY INTAKE POINT_ JABALPUR,MADHYA PRADESH,19,25,22.5,6.6,7.7,7.2,7.2,7.6,7.5,328,572,414,1.4,2.4,2,1.34,3.39,2,3,3,3,14,240,75
2013,3324,NARMADA AT PANCHWATIGHAT_ BEFORE MIXING WITH BAWANGANGA RIVER_ JABALPUR,MADHYA PRADESH,19,26,22.2,6.9,7.8,7.1,7.2,8.4,7.6,312,575,405,1.1,2.8,2,1.24,4.52,2,3,23,11,15,460,116
2013,3325,NARMADA AT SARSWATIGHAT_ AFTER MIXING WITH BAWANGANGA RIVER_ JABALPUR,MADHYA PRADESH,18,26,22,6.7,7.8,7.1,7.3,8.4,7.6,295,606,410,1.8,7.6,2.9,1.3,3.29,2,3,23,12,15,460,153
2013,1243,NARMADA AT BHARUCH_ZADESHVAR_GUJARAT,GUJARAT,24,24,24,8.1,8.1,8.1,8.1,8.1,8.1,247,848,378,2.6,2.6,2.6,0.532,5.63,2.36,20,2200,663,70,9200,2255
2013,1244,NARMADA AT PANETHA_ GUJARAT,GUJARAT,24,28,26.5,3.9,8.5,7.2,7.8,8.6,8,179,19452,3910,0.6,2.9,1.6,8.92,10.03,9,2,7,4,8,24,17
2013,1245,NARMADA AT CHANDOD_ GUJARAT,GUJARAT,26,31,27.7,3.4,8.5,6.5,7.3,8.8,8,221,811,412,0.4,6.1,2.4,0.309,9.36,8,3,230,90,4,40,18
2013,1981,NARMADA AT ZANOR (NTPC)_ BHARUCH,GUJARAT,30,30,30,8.9,8.9,8.9,8.5,8.5,8.5,2000,2000,2000,0.6,0.6,0.6,0.41,2.33,1.25,210,210,210,11,11,11
2013,2073,NARMADA MAIN CANAL_ NR. VILLAGE LIMBADIA_ DIST GANDHINAGAR,GUJARAT,26,32,28.6,5.9,9.5,7.6,7.7,8.6,8.2,240,2450,1072,0.7,6.1,4,0,0,0,4,4,4,4,4300,1090
2013,2100,GOUR RIVER BHOGA DOOR_ JABALPUR,MADHYA PRADESH,19,24,22.4,6.9,7.8,7.6,7.3,8,7.5,350,680,435,1,3.6,2.3,0.42,3.26,2,1,23,11,4,460,81
2013,2101,KATNI RIVER NEAR NAGAR NIGAM,MADHYA PRADESH,18,29,23.4,6.9,7.8,7.6,7.1,8.9,7.6,210,612,435,1,12.8,2.8,0.36,2.69,2,4,5,5,11,150,53
2013,3305,BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT_ JABALPUR,MADHYA PRADESH,20,24,22,6.9,7.8,7.3,7.1,7.7,7.3,343,450,402,1.5,2.8,2.1,0.2,2.5,1.55,3,4,4,17,93,32
2013,1313,TAPI AT AJNAND VILLAGE_ MAHARASHTRA,MAHARASHTRA,30,34,31.5,4.8,6.7,5.8,7.7,8.4,8.1,168,866,466,2.4,7,3.8,0.31,2.78,1.89,33,60,44,110,140,128
2013,1251,TAPI AT BHUSAWAL US MAHARASHTRA,MAHARASHTRA,28,32,29.8,5.4,6.7,6.1,7.3,8.4,8,182,860,393,2.2,6,3.4,0.473,5.69,4.59,34,50,38,110,140,120
2013,1314,TAPI AT UPHAD VILLAGE_ MAHARASHTRA,MAHARASHTRA,19,25,22.6,4.4,7.2,6.3,7.7,8.2,8.1,298,904,465,2.4,6,3.1,0.32,2.88,2,27,170,68,110,340,197
2013,1247,TAPI AT MANDAVI_ GUJARAT,GUJARAT,24,28,26.6,7,7.6,7.2,7.3,8.5,8.1,23,2850,1838,0.3,0.8,0.5,2.711,3.33,3,1500,9300,6450,17,260,113
2013,1248,TAPI AT SURAT U/S KATHORE_ GUJARAT,GUJARAT,24,29,26.9,5.2,7.8,6.7,8.3,8.7,8.5,231,2300,599,0.3,21,3.1,0.62,4.89,4.03,23,2100,510,93,430,318
2013,1982,TAPI AT RANDER BRIDGE_ SURAT,GUJARAT,24,29,27,6.8,7.8,7.3,8.4,8.5,8.4,364,3542,1986,0.5,2.2,1.2,0.36,1.03,1,540,7900,3747,9,930,322
2013,1983,RIVER TAPI NEAR BARDOLI (KAPP BRIDGE)_ BARDOLI,GUJARAT,29,34,31,7.8,8.1,8,8,8.5,8.2,1602,5670,4201,1.9,4.7,3.6,0.41,2.33,1,30,70,47,230,240,237
2013,2071,RIVER TAPI AT ONGC BRIDGE AT SURAT_ DIST SURAT,GUJARAT,26,29,27.6,7.2,8.4,8,7.2,8.6,8,277,1570,938,1.1,2.2,1.6,0,0,0,21802.47,19343208,1984207,80,170000,23991
2013,2070,RIVER KIM AT SAHOL BRIDGE_ OLPAD HASOT ROAD_ DIST SURAT,GUJARAT,20,29,26.4,6.6,8.6,7.4,8,8.6,8.3,460,4330,2243,1,5.2,3,0.43,1.46,1,3,1500,345,210,221000,29144
2013,1149,KOLAK AT PATALIA BDG._ GUJARAT,GUJARAT,24,30,27.5,2.8,6.8,5.3,7.3,8.2,7.8,154,265,200,0.5,10,2.8,2.272,3.39,3,5,90,36,4,9,5
2013,1435,KOLAK AT RAILWAY BRIDGE NO. 313 VAPI_ VALSAD,GUJARAT,24,35,29.9,6.6,8.6,7.6,7.2,9.7,8.2,285,5670,1992,0.4,89,9.7,0.75,2.45,2,23,150,60,64,24000,9106
2013,1253,GIRNA AT MALEGAON (MANMAD)_ MAHARASHTRA,MAHARASHTRA,26,26,26,5.8,6.5,6.2,8.3,8.5,8.4,283,329,306,2.6,3,2.8,1.6,2.69,2,34,70,52,70,140,105
2013,1252,GIRNA AT JALGAON_ MAHARASHTRA,MAHARASHTRA,28,29,28.3,5,7,6.2,8,8.4,8.2,496,868,634,2.4,3.2,2.7,4.73,5.02,5,34,40,36,110,190,137
2013,1907,RANGAVALI D/S OF NAVAPUR,MAHARASHTRA,21,22,21.3,5,6.3,5.7,8.2,8.3,8.3,305,491,402,2.6,5,3.5,0.149,0.26,2,22,90,56,110,210,150
2013,2127,DENWA NEAR SARNI_ ROAD BRIDGE,MADHYA PRADESH,23,37,27.3,7.4,8.5,7.9,7.9,8.2,8.1,367,780,524,0.5,4.5,2.4,1.92,2.55,2.39,2,6,4,130,900,515
2013,2155,PURNA RIVER A/C OF MORNA_ NANDURA VILLAGE,MAHARASHTRA,20,27,24.8,3.6,6,5.1,7.5,9,8.3,536,812,664,7,14,9.8,3.78,5.99,5,300,900,550,280,900,645
2013,1861,PURNA ON BRIDGE AT SURAT- NAVSARI HIGHWAY,GUJARAT,28,33,30.5,7.2,7.8,7.5,8,8.3,8.1,2980,7780,5380,1.4,3.7,2.5,2,2.5,2.02,23,75,49,2,9,6
2013,1438,MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,GUJARAT,25,30,27.6,5.6,8.1,6.8,7.8,8.6,8.2,662,2390,1324,1,5,2.5,8,8.16,8.06,4,140,55,93,430,196
2013,3203,AMRAVATI AT VILLAGE DADHAL _ TA ANKLESHWAR_ BHARUCH,GUJARAT,27,27,27,4.7,6.3,5.4,7.5,8.8,7.9,265.629,1055.3,572.7,0.3,2,1,0.4353,3.662,1.46,21802.47,19343208,1984207,323807.8,28246860,3422466
2013,2652,AMRAVATI RIVER D/S OF DONDAICHA_ DHULE,MAHARASHTRA,19,21,19.7,4.6,5.2,4.9,7.7,8.3,7.9,561,772,666,2.6,8.5,4.8,2.08,2.42,2.25,34,90,62,90,190,140
2013,2658,BORI RIVER D/S OF AMALNER_ JALGAON,MAHARASHTRA,33,35,33.7,4.6,6.9,5.9,8,8.4,8.2,499,863,635,2.6,3.6,3,4.68,5.23,5,33,90,52,110,170,140
2013,2659,BURAI RIVER BEFORE CONFLUECE TO TAPI RIVER_ MUKUDAS_ DHULE,MAHARASHTRA,19.5,24,21.9,5.3,6.6,6.2,7.9,8.4,8.1,420,647,510,2.6,3.4,2.9,0.254,5.53,3,7,70,39,110,140,125
2013,2666,GOMAI RIVER_ D/S. OF SHAHADA_ DHULE.,MAHARASHTRA,20,23,21.8,6,6.7,6.2,8.1,8.4,8.2,324,486,392,2.4,3,2.8,0.754,3.69,3,40,110,75,140,300,200
2013,2667,HIWARA RIVER_ D/S OF PACHORA._ JALGAON,MAHARASHTRA,35,37,35.7,4.5,6.9,6,8,8.4,8.2,337,865,591,2.2,3.4,2.8,4.72,5.44,5,22,110,74,70,280,187
2013,2674,MOR RIVER_ NEAR PADALSHE VILLAGE_ JALGAON.,MAHARASHTRA,30,31,30.3,5,6.6,6,8,8.5,8.3,339,855,579,2.4,3.2,2.9,4.61,6.02,5,22,90,46,80,170,113
2013,2675,MORNA RIVER AT D/S OF RAILWAY BRIDGE AT AKOLA.,MAHARASHTRA,18,28,22.5,2.8,6.2,4.9,8.1,8.6,8.4,546,892,766,6.4,78,26.6,12.72,13.32,13,110,300,173,240,900,430
2013,2684,PANZARA RIVER_ NEAR PANZARAKAN SSK LTD._ DHULE.,MAHARASHTRA,19.5,20,19.8,5.9,6.7,6.4,8.2,8.4,8.3,367,454,406,2.4,2.8,2.6,1.32,2.33,2,70,90,77,190,300,233
